,HW1,HW2,HW3,HW4,HW5,HW6,HW7,HW8,HW9,ATT,QZ1,QZ2,QZ3,QZ4,EX1,EX2,Test1,Test2,Lab,Homework,Quiz,Overall,Grade
141,60,70,85,75,0,0,0,0,0,3,66.66666667,77.77777778,0,95,67.2,65.7,84,73,25,28.75,57.59259259,49.62888889,F
142,90,0,70,90,0,44,0,40,55,10,91.66666667,77.77777778,55,65,43.2,49.5,54,55,83.33333333,37.375,65.92592593,50.44972222,D
143,87.5,100,100,100,100,100,100,100,80,12,100,100,65,100,80,84.6,100,94,100,97.5,88.33333333,89.65,A-
144,92.5,100,100,70,100,100,92,100,80,12,91.66666667,94.44444444,85,85,60.8,50.85,76,56.5,100,92.75,88.14814815,75.91972222,C
145,87.5,60,100,100,95,92,79,95,100,12,58.33333333,66.66666667,70,95,60,76.5,75,85,100,90.125,77.22222222,79.74583333,B-
146,85,95,100,100,95,100,89,97.5,85,12,91.66666667,66.66666667,82.5,100,72,79.2,90,88,100,95.1875,83.05555556,85.21458333,B
147,83.5,100,0,90,70,94,76,100,100,12,100,61.11111111,90,95,60,67.05,75,74.5,100,78.75,82.03703704,74.69305556,C
148,85,100,92.5,100,95,100,90,65,100,12,66.66666667,100,75,85,66.4,79.2,83,88,100,92.8125,86.66666667,83.92375,B
149,92.5,100,92.5,70,100,82,86,60,100,12,66.66666667,66.66666667,40,45,69.6,63.9,87,71,100,86.3125,50.55555556,73.37208333,C
150,92.5,97.5,95,100,91.25,100,94,100,95,12,83.33333333,77.77777778,40,95,62.4,66.6,78,74,100,96.59375,70.92592593,78.74701389,C+
151,86,100,100,90,100,92.5,0,90,100,12,58.33333333,33.33333333,85,90,32.8,66.6,41,74,100,84.0625,69.44444444,68.84541667,C-
152,92.5,100,0,90,100,100,89,100,100,12,83.33333333,72.22222222,80,95,70.4,77.4,88,86,100,84.875,82.40740741,81.25361111,B-
153,82.5,80,95,90,100,98,92,100,85,11,91.66666667,88.88888889,60,90,68,72.9,85,81,91.66666667,92.5,79.62962963,80.68611111,B-
154,85,42.5,0,0,0,66,0,0,80,6,83.33333333,66.66666667,0,70,52,43.2,65,48,50,23.5625,45.55555556,40.10208333,F
155,77.5,100,97.5,65,72,81,97,100,75,10,79.16666667,50,0,85,64.8,62.1,81,69,83.33333333,85.9375,45,69.34958333,C-
156,70,80,90,100,90,0,90,90,85,12,91.66666667,0,75,90,36,46.8,45,52,100,78.125,55,60.5875,C-
157,77.5,92.5,95,90,0,95,94,100,100,10,66.66666667,88.88888889,70,45,66.4,70.2,83,78,83.33333333,83.3125,67.96296296,74.35152778,C
158,92.5,97.5,100,100,100,99,97,100,100,12,91.66666667,61.11111111,85,70,57.6,72.9,72,81,100,99.1875,72.03703704,80.30680556,B-
159,89.5,100,97.5,80,96.25,96,51,85,100,12,100,66.66666667,75,85,69.6,74.7,87,83,100,88.21875,75.55555556,80.39395833,B-
160,89,100,55,98,100,83,100,0,97,9,75,61.11111111,0,100,70.4,69.3,88,77,75,79.125,53.7037037,70.69805556,C
161,65,82.5,87.5,85,95,95,100,90,80,12,91.66666667,77.77777778,75,95,70.4,78.3,88,87,100,89.375,82.59259259,82.85638889,B
162,92.5,100,100,70,100,100,91,80,90,12,100,66.66666667,60,90,68.8,73.35,86,81.5,100,91.375,72.22222222,80.34333333,B-
163,92.5,97.5,100,0,100,99,94,90,100,12,91.66666667,88.88888889,80,95,71.2,79.2,89,88,100,85.0625,87.96296296,82.75319444,B
164,92.5,82,92.5,75,100,99,76,90,89,12,100,83.33333333,80,40,67.2,78.3,84,87,100,87.9375,67.77777778,79.56291667,B-
165,70,78,95,0,90,97,100,80,100,11,75,27.77777778,50,55,64.8,63.9,81,71,91.66666667,80,44.25925926,68.74055556,C-
166,80,57.5,100,60,80,78,70,95,94,12,83.33333333,66.66666667,70,90,68.8,64.35,86,71.5,100,79.3125,75.55555556,74.97458333,C
167,92.5,100,92.5,95,100,97,97,100,85,12,58.33333333,50,52.5,60,68,63,85,70,100,95.8125,54.16666667,76.21875,C
168,82.5,100,100,100,100,98,71,100,91,12,91.66666667,83.33333333,80,95,69.6,80.1,87,89,100,95,86.11111111,85.36166667,B
169,80,0,95,0,55,0,0,0,75,7,83.33333333,0,0,65,53.6,60.75,67,67.5,58.33333333,28.125,21.66666667,43.42833333,F
170,42.5,52.5,90,72.5,100,95,88,80,85,12,83.33333333,88.88888889,42.5,80,65.6,63,82,70,100,82.875,70.46296296,74.30194444,C
171,80,92.5,100,90,100,94,85,90,85,11,91.66666667,88.88888889,75,100,66.4,57.15,83,63.5,91.66666667,92.0625,87.96296296,77.54736111,C+
172,70,100,92.5,82.5,100,99,97,90,85,12,75,83.33333333,80,90,69.6,80.1,87,89,100,93.25,84.44444444,84.58666667,B
173,90,100,100,100,95,99,100,100,100,12,91.66666667,100,80,90,70.4,74.7,88,83,100,99.25,90,86.03,B+
174,70,92.5,90,85,95,99,88,90,90,12,91.66666667,88.88888889,75,90,69.6,65.7,87,73,100,91.1875,84.62962963,80.39569444,B-
175,100,100,85,90,85,89,92,95,95,12,100,94.44444444,80,100,79.2,81.9,99,91,100,91.375,91.48148148,87.44972222,B+
176,100,100,92.5,80,100,98,100,80,100,10,100,0,90,0,70.4,82.8,88,92,83.33333333,93.8125,30,75.75708333,C
177,40,0,82.5,0,70,0,52,0,98,12,58.33333333,61.11111111,0,75,46.4,36,58,40,100,37.8125,45.37037037,46.42930556,F
178,92.5,100,92.5,90,100,96,85,90,85,12,83.33333333,88.88888889,80,75,60,70.65,75,78.5,100,92.3125,81.2962963,79.55069444,B-
179,92.5,85,100,85,95,100,92,90,75,12,91.66666667,61.11111111,80,100,71.2,74.7,89,83,100,90.25,80.37037037,82.04555556,B
180,87,100,100,100,100,93,91,80,98,10,83.33333333,88.88888889,50,85,48,54,60,60,83.33333333,95.25,74.62962963,71.20277778,C
181,75,97.5,67.5,80,95,90,58,100,85,12,100,77.77777778,67.5,85,57.6,56.7,72,63,100,84.125,76.75925926,72.44638889,C
182,100,100,92.5,90,95,95,100,100,80,12,83.33333333,100,80,100,72,80.1,90,89,100,94.0625,93.33333333,86.64375,B+
183,85,85,85,85,85,72,85,65,80,6,75,38.88888889,60,70,48.8,54.9,61,61,50,80.25,56.2962963,61.00444444,C-
184,92.5,70,90,75,100,100,84,100,75,12,100,88.88888889,85,95,69.6,66.6,87,74,100,86.75,89.62962963,80.03944444,B-
185,85,99,92.5,0,0,0,0,0,0,3,41.66666667,0,0,0,75.2,66.6,94,74,25,23.9375,0,41.37125,F
186,80,100,100,0,90,0,100,70,0,10,83.33333333,0,30,70,64,55.35,80,61.5,83.33333333,57.5,33.33333333,57.22083333,D
187,65,100,55,90,100,86.5,100,85,85,9,83.33333333,88.88888889,52.5,90,68,60.3,85,67,75,87.6875,77.12962963,74.05069444,C
188,60,100,92.5,100,95,71,90,92.5,85,10,91.66666667,88.88888889,52.5,100,72,74.25,90,82.5,83.33333333,90.75,80.46296296,80.59027778,B-
